Feature,Importance,Abs_Importance,Model
CLV,37.31706237792969,37.31706237792969,XGBoost_Regularized
Avg_Quantity,20.875038146972656,20.875038146972656,XGBoost_Regularized
Total_Revenue,8.285999298095703,8.285999298095703,XGBoost_Regularized
Rev_L4Q,7.610194206237793,7.610194206237793,XGBoost_Regularized
Education_Rank,7.17872428894043,7.17872428894043,XGBoost_Regularized
Active_Rate,6.376133918762207,6.376133918762207,XGBoost_Regularized
Total_Profit,6.025702953338623,6.025702953338623,XGBoost_Regularized
Tenure,5.964341640472412,5.964341640472412,XGBoost_Regularized
Avg_Unit_Price,5.878532409667969,5.878532409667969,XGBoost_Regularized
Loyalty_Rank,5.487747669219971,5.487747669219971,XGBoost_Regularized
Profit_L4Q,5.394063949584961,5.394063949584961,XGBoost_Regularized
Profit_Margin,4.700843811035156,4.700843811035156,XGBoost_Regularized
Recency,4.564892768859863,4.564892768859863,XGBoost_Regularized
Income_Imputed,4.525259971618652,4.525259971618652,XGBoost_Regularized
Avg_Revenue,3.325995683670044,3.325995683670044,XGBoost_Regularized
Months_As_Member,2.460153818130493,2.460153818130493,XGBoost_Regularized
Active_Quarters,0.0,0.0,XGBoost_Regularized
Freq_L1Q,0.0,0.0,XGBoost_Regularized
Total_Orders,0.0,0.0,XGBoost_Regularized
Avg_Gap,0.0,0.0,XGBoost_Regularized
Freq_L2Q,0.0,0.0,XGBoost_Regularized
Num_Products,0.0,0.0,XGBoost_Regularized
Coupon_Diversity,0.0,0.0,XGBoost_Regularized
Rev_L2Q,0.0,0.0,XGBoost_Regularized
Freq_L4Q,0.0,0.0,XGBoost_Regularized
Rev_L1Q,0.0,0.0,XGBoost_Regularized
Revenue_Trend_2Q,0.0,0.0,XGBoost_Regularized
Gender_Male,0.0,0.0,XGBoost_Regularized
