Target,Model,Order,Seasonal_Order,Validation_Quarter,Actual,Predicted,Error,MAE,RMSE,MAPE,sMAPE,Bias,AIC,BIC,Converged
Profit,SeasonalGrowth,,,2019-Q1,2643050.0,2770393.29,127343.29,127343.29,127343.29,0.0482,0.047,127343.29,,,True
Profit,SeasonalGrowth,,,2019-Q2,1309416.0,1389581.13,80165.13,80165.13,80165.13,0.0612,0.0594,80165.13,,,True
Profit,SeasonalGrowth,,,2019-Q3,1251267.0,1306001.63,54734.63,54734.63,54734.63,0.0437,0.0428,54734.63,,,True
Profit,SeasonalGrowth,,,2019-Q4,3842557.0,3831405.57,-11151.43,11151.43,11151.43,0.0029,0.0029,-11151.43,,,True
Profit,SeasonalGrowth,,,2020-Q1,4502692.0,3128061.99,-1374630.01,1374630.01,1374630.01,0.3053,0.3603,-1374630.01,,,True
Revenue,SeasonalGrowth,,,2019-Q1,17624008.0,18476147.81,852139.81,852139.81,852139.81,0.0484,0.0472,852139.81,,,True
Revenue,SeasonalGrowth,,,2019-Q2,8731858.0,9266983.32,535125.32,535125.32,535125.32,0.0613,0.0595,535125.32,,,True
Revenue,SeasonalGrowth,,,2019-Q3,8343880.0,8708982.38,365102.38,365102.38,365102.38,0.0438,0.0428,365102.38,,,True
Revenue,SeasonalGrowth,,,2019-Q4,25624259.0,25547391.63,-76867.37,76867.37,76867.37,0.003,0.003,-76867.37,,,True
Revenue,SeasonalGrowth,,,2020-Q1,30024677.0,20855839.31,-9168837.69,9168837.69,9168837.69,0.3054,0.3604,-9168837.69,,,True
