Target,Transform,ADF_Statistic,ADF_PValue,Stationary_at_5pct,N_Obs
Revenue,level,0.6581814310420073,0.9889652724006787,False,17
Revenue,log_level,0.7455440628922142,0.990704301650922,False,17
Revenue,diff_1,-8.721795648639006,3.369957412423472e-14,True,16
Revenue,seasonal_diff_4,-1.95265747213738,0.3077088500328846,False,13
Revenue,diff_1_and_seasonal_diff_4,-5.19943023036472,8.815662934507178e-06,True,12
Profit,level,0.6584239672054796,0.988970558901785,False,17
Profit,log_level,0.7458228394019185,0.9907093516819897,False,17
Profit,diff_1,-8.721989874881862,3.366100023965442e-14,True,16
Profit,seasonal_diff_4,-1.9523556488494167,0.30784596580383433,False,13
Profit,diff_1_and_seasonal_diff_4,-5.229316854320569,7.657903342065814e-06,True,12
